"Large","name(Large)","Medium","name(medium)","Small","name(small)","Fine","name(fine)","Applicable example"
"","","","","","","501-99","Chemical product production equipment control / monitoring personnel not classified elsewhere","Ink manufacturing equipment operator, paint manufacturing equipment operator, chemical product raw material crushing equipment operator, photosensitizer material manufacturing equipment operator, synthetic detergent manufacturing equipment operator, fragrance manufacturing equipment operator, pesticide manufacturing equipment operator, salt manufacturing equipment operator, soap manufacturing equipment operator, Paint manufacturing equipment operator, pesticide manufacturing equipment operator, film manufacturing equipment operator, oil and fat product manufacturing equipment operator"
"","","","","502","Ceramic product production equipment control / monitoring staff","502-01","Glass product manufacturing equipment control / monitoring staff","Glass polishing equipment operator, glass molding equipment operator, glass fiber manufacturing equipment operator, glass heat processing equipment operator, glass heat treatment equipment operator"
"","","","","","","502-02","Fine ceramics product manufacturing equipment control / monitoring staff","Silicon wafer manufacturing equipment operator, semiconductor wafer manufacturing equipment operator, fine ceramics product manufacturing equipment operator"
"","","","","","","502-03","Cement manufacturing equipment control / monitoring staff","Cement manufacturing equipment operator"
"","","","","","","502-99","Ceramic product production equipment control / monitoring personnel not classified elsewhere","Kawara manufacturing equipment operator, polishing material manufacturing equipment operator, concrete product manufacturing equipment operator, lime manufacturing equipment operator, gypsum product manufacturing equipment operator, ceramics manufacturing equipment operator, ready-mixed concrete manufacturing equipment operator, ceramic raw material processing equipment operator, pot manufacturing equipment operator, Brick manufacturing equipment operator"
"","","","","503","Food production facility control / monitoring staff","503-01","Milling / milling / seasoning food manufacturing equipment control / monitoring staff","Spice manufacturing equipment operator, jam manufacturing equipment operator, sucrose manufacturing equipment operator, edible oil and fat product manufacturing equipment operator, grain milling equipment operator, sugar manufacturing equipment operator, flour milling equipment operator, rice milling equipment operator, seasoning manufacturing equipment operator (excluding salt making), Margarine Manufacturing Equipment Operator, Mayonnaise Manufacturing Equipment Operator, Miso Manufacturing Equipment Operator"
"","","","","","","503-02","Control / monitoring staff for manufacturing equipment for noodles, bread, and confectionery","Snack manufacturing equipment operator, bread manufacturing equipment operator, noodle manufacturing equipment operator, baked confectionery manufacturing equipment operator, Western confectionery manufacturing equipment operator, Japanese confectionery manufacturing equipment operator, Japanese dried confectionery manufacturing equipment operator"
"","","","","","","503-03","Milk / dairy product manufacturing equipment control / monitoring staff","Ice cream production equipment operator, drinking milk production equipment operator, cheese production equipment operator, lactic acid fermentation product production equipment operator, butter production equipment operator, milk powder production equipment operator, condensed milk production equipment operator"
"","","","","","","503-99","Food production facility control / monitoring personnel not classified elsewhere","Canned food manufacturing equipment operator, marine products manufacturing equipment operator, tofu manufacturing equipment operator, natto manufacturing equipment operator, bottled food manufacturing equipment operator, lunch manufacturing equipment operator, preserved food manufacturing equipment operator, frozen processed food manufacturing equipment operator, retort Food manufacturing equipment operator"
"","","","","504","Beverage / tobacco production facility control / monitoring staff","504-01","Beverage / tobacco production facility control / monitoring staff","Sake manufacturing equipment operator, tea making equipment operator, soft drink manufacturing equipment operator, tobacco manufacturing equipment operator, beer manufacturing equipment operator"
"","","","","505","Textile / garment / textile production equipment control / monitoring staff","505-01","Textile / garment / textile production equipment control / monitoring staff","Knitting machine operator, embroidery equipment operator, weaving equipment operator, weaving machine operator, netting equipment operator (made of textiles), scouring equipment operator (textile products), textile product finishing press equipment operator, dyeing equipment operator (spinning, textile manufacturing), Fabric cutting equipment operator, yarn equipment operator, bleaching equipment operator (textile products), felt manufacturing equipment operator, non-woven fabric manufacturing equipment operator, sewing equipment operator, spinning equipment operator"
"","","","","506","Wooden products / pulp / paper / paper products production equipment control / monitoring staff","506-01","Lumber / plywood manufacturing equipment control / monitoring staff","Log cutting equipment operator, plywood manufacturing equipment operator, lumber equipment operator, wood chip manufacturing equipment operator, wood board manufacturing equipment operator"
"","","","","","","506-02","Pulp manufacturing / papermaking equipment control / monitoring staff","Paper cutting equipment operator, papermaking equipment operator, paper preparation equipment operator, corrugated board base paper manufacturing equipment operator, pulp manufacturing equipment operator"
"","","","","","","506-03","Processed paper / paper product manufacturing equipment control / monitoring staff","Processed paper manufacturing equipment operator, paper product manufacturing equipment operator, paper container manufacturing equipment operator, corrugated board sheet manufacturing equipment operator"
"","","","","507","Printing / binding equipment control / monitoring staff","507-01","Printing / binding equipment control / monitoring staff","Printing equipment operator, printed matter gloss processing equipment operator, bookbinding equipment operator, stamping equipment operator"
"","","","","508","Rubber / plastic product production equipment control / monitoring staff","508-01","Rubber product manufacturing equipment control / monitoring staff","Raw material rubber processing equipment operator, rubber cutting equipment operator, rubber product manufacturing equipment operator, rubber joining equipment operator, rubber coating equipment operator, tire manufacturing equipment operator"
"","","","","","","508-02","Plastic product manufacturing equipment control / monitoring staff","Raw material plastic processing equipment operator, plastic polishing equipment operator, plastic cutting equipment operator, plastic molding equipment operator, plastic product manufacturing equipment operator, plastic joining equipment operator, plastic cutting equipment operator"
"","","","","509","Other production equipment control / monitoring occupations (excluding metal material manufacturing, metal processing, metal welding / fusing)","509-99","Other production equipment control / monitoring occupations (excluding metal material manufacturing, metal processing, metal welding / fusing)","Exercise equipment manufacturing equipment operator, musical instrument manufacturing equipment operator, cancer equipment manufacturing equipment operator, compound feed manufacturing equipment operator, writing instrument manufacturing equipment operator"
"","","51","Occupation of production equipment control / monitoring (machine assembly)","511","General machinery / equipment assembly equipment control / monitoring staff","511-01","General machinery / equipment assembly equipment control / monitoring staff","Printing machine assembly equipment operator, machine parts assembly equipment operator, commercial air conditioning equipment assembly equipment operator, metal processing machine assembly equipment operator, construction machine assembly equipment operator, prime mover assembly equipment operator, entertainment machine assembly equipment operator, service machine assembly equipment operator , Bookbinding machine assembly equipment operator, Agricultural machine assembly equipment operator, Semiconductor manufacturing equipment assembly equipment operator"
"","","","","512","Electrical machinery and equipment assembly equipment control / monitoring staff","512-01","Electrical machinery and equipment assembly equipment control / monitoring staff","Electrical Machinery Assembly Equipment Operator, Electrical Machinery Parts Assembly Equipment Operator, Telecommunications Machinery Equipment Assembly Equipment Operator, Electronic Applied Machinery Equipment Assembly Equipment Operator, Electronic Equipment Parts Assembly Equipment Operator, Semiconductor Product Manufacturing Equipment Operator, Consumer Electrical Machinery Equipment Assembly Equipment Operator"
"","","","","513","Automobile assembly equipment control / monitoring staff","513-01","Automobile assembly equipment control / monitoring staff","Automobile assembly equipment operator, automobile parts assembly equipment operator, automobile parts installation equipment operator"
"","","","","514","Transportation machinery / equipment assembly equipment control / monitoring staff (excluding automobiles)","514-01","Transportation machinery / equipment assembly equipment control / monitoring staff (excluding automobiles)","Aircraft parts assembly equipment operator, railroad vehicle parts assembly equipment operator"
"","","","","515","Weighing measurement equipment / optical machinery / equipment assembly equipment control / monitoring staff","515-01","Weighing measurement equipment / optical machinery / equipment assembly equipment control / monitoring staff","Metrology equipment assembly equipment operator, optical equipment assembly equipment operator, watch assembly equipment operator, lens polishing equipment operator"
"","","52","Occupations of metal material manufacturing, metal processing, metal welding / fusing","521","Ironmaking and steelmaking","521-01","Ironmaking","Furnace work (blast furnace)"
"","","","","","","521-02","Steelmaker","Ingot work (steelmaking), electric furnace work (steelmaking), converter furnace pre-working (steelmaking)"
"","","","","","","521-03","Iron melting work for casting","Cupola work (iron melting for casting), electric furnace work (iron melting for casting)"
"","","","","","","521-99","Ironmaking and steelmaking that are not classified elsewhere","Blast furnace cooler, torpedo car operator, torpedo carrier, ferroalloy maker, hot metal transporter"
"","","","","522","Non-ferrous metal smelter","522-01","Non-ferrous metal melting furnace","Non-ferrous metal melting work for castings, aluminum melting work for die casting, non-ferrous metal casting ingot work, pre-furnace work (non-ferrous metal smelting)"
"","","","","","","522-02","Non-ferrous metal electrolyzer","Copper electrolyzer, non-ferrous metal leaching / purification work"
"","","","","","","522-03","Semiconductor material smelter (polycrystalline silicon, etc.)","Polycrystalline silicon maker"
"","","","","","","522-99","Non-ferrous metal smelter not classified elsewhere","Zinc distiller"
"","","","","523","Foundry maker","523-01","Foundry","Aluminum caster, molder, caster, malleable cast iron caster, machine-built molder, pig iron caster, sand preparation, hand-made molder, core work, non-ferrous metal caster"
"","","","","","","523-02","Casting finisher","Casting mold disassembling work, casting cutting / repair work, casting fishing work, shot blasting work (casting manufacturing)"
"","","","","524","Forging","524-01","Forging heating furnace","Forging furnace worker, fire bed clerk"
"","","","","","","524-02","Free forging","Forged hammer and forged press"
"","","","","","","524-03","Mold forging","Mold forging press"
"","","","","","","524-04","Hand steering","Tool steer"
"","","","","","","524-99","Forgings not classified elsewhere","Forging assistant, forging deburring, spring manufacturing (by hot forming), rolling forging"
"","","","","525","Metal heat treatment","525-01","Metal heat treatment","Induction hardening tempering work, charcoal hardening tempering tempering work, quenching tempering work, annealing / normalizing work"
"","","","","526","Roller","526-01","Roller","Rolling heating furnace work, rolling finish work, rolling roll maintenance work, steel plate rolling work, seamless steel pipe work, strip steel rolling work, stainless steel plate work, spreading work (non-iron metal foil), electric sewing pipe work, hot rolling work, surface Treated steel sheet work, welded steel pipe work, cold rolling work"
"","","","","527","General-purpose metal machine tool worker","527-01","Lathe","Lathe"
"","","","","","","527-02","Drilling machine","Metal drilling (by drilling machine)"
"","","","","","","527-03","Milling machine","Milling machine"
"","","","","","","527-04","Grinding machine, finishing mechanic","Grinder (metal grinding), grinding machine, buffing machine, honing machine, lapping machine"
"","","","","","","527-99","General-purpose metal machine tool not classified elsewhere","Training assistant (practice of general-purpose metal machine tools in school), boring machine, thread cutting machine, gear cutting machine, gear finishing machine, planing machine, electric discharge machine, wire electric discharge machine"
"","","","","528","Numerical control metal machine tool","528-01","NC lathe","NC lathe"
"","","","","","","528-02","NC milling machine","NC milling machine"
"","","","","","","528-03","Machining center operator","MC operator"
"","","","","","","528-04","NC metal special processing machine","NC electric discharge machine, NC wire cut electric discharge machine, NC laser machine"
"","","","","","","528-99","Numerical control metal machine tool not classified elsewhere","NC grinding machine tool, NC drilling machine tool, NC thread cutting machine tool, NC gear cutting machine tool, NC gear finishing machine tool, NC planing machine tool, NC honing machine tool, NC drilling machine tool, NC lap machine tool, training assistant (Practice of numerically controlled metal machine tools in school), Turning center operator"
"","","","","531","Metal press","531-01","Press molder (excluding punching press and curved press)","NC press mechanic (excluding punching press and curved press), metal press (excluding punching press and curved press), drawing press, press stamping"
"","","","","","","531-02","Punching press work","NC turret punch press, turret punch press"
"","","","","","","531-03","Song press work","NC bender, brake press, bender"
"","","","","532","Ironworkers, can makers","532-01","Architectural ironworker","Steel frame work"
"","","","","","","532-02","Shipbuilding Ironworks","Hull block assembler, shipbuilder"
"","","","","","","532-03","Can maker","Pressure vessel assembler, can maker (pressure vessel), can maker (tank), can maker (boiler), tank can maker, boiler assembler"
"","","","","","","532-99","Ironworkers and can makers not classified elsewhere","Mechanical ironworker, bridge ironworker"
"","","","","533","Sheet metal worker","533-01","Architectural sheet metal work","Metal siding work, duct work, galvanized iron roofing work"
"","","","","","","533-02","Factory sheet metal work","Precision sheet metal worker"
"","","","","","","533-03","Automobile sheet metal worker","Sheet metal worker (automobile repair industry), sheet metal painter (automobile repair industry)"
"","","","","","","533-99","Sheet metal worker not classified elsewhere","Can maker (cans for cans and beverages), can maker, sheet metal maker, drum maker"
"","","","","534","Plating and metal polishing","534-01","Electroplater","Electroplater"
"","","","","","","534-02","Plating (excluding electroplating)","Alumite work, chemical plating work, chemical conversion treatment work, vapor phase plating work, vacuum plating work, anti-seizure treatment work, anode treatment work, thermal spray plating work, hot-dip plating work"
"","","","","","","534-03","Metal material / product polisher","Metal polisher, tool polisher, knife sharpener"
"","","","","","","534-04","Metal hand finish","Metal scraper, metal scraper, metal filer, saw conspicuous job"
"","","","","535","Nail, spring, metal wire product manufacturer","535-01","Nail, spring, metal wire product manufacturer","Wire mesh knitting, metal wire product manufacturing, nail manufacturing, spring manufacturing (by cold forming), spring manufacturing (by cold forming), needle manufacturing, wire rope manufacturing"
"","","","","536","Metal product manufacturer","536-01","Metal furniture and joinery manufacturer","Aluminum sash assembler, metal furniture maker, metal joinery maker"
"","","","","","","536-02","Jig tool maker","Tool maker, jig maker, file maker"
"","","","","","","536-03","Mold maker","Moldmaker, mold repairer"
"","","","","","","536-04","Cutlery maker","Cutlery maker"
"","","","","","","536-05","Metal fittings manufacturer","Metal fittings manufacturer"
"","","","","","","536-99","Metal product manufacturer not classified elsewhere","Pipe fitting manufacturer, steel ball manufacturer"
"","","","","537","Metal welding / fusing work","537-01","Arc welder","Argon welder, carbon dioxide arc welder, TIG welder, semi-automatic arc welder, shielded metal arc welder"
"","","","","","","537-02","Resistance welder","Seam welder, spot welder"
"","","","","","","537-03","Gas welder","Oxygen acetylene gas welder"
"","","","","","","537-04","Gas cutting work","Oxygen acetylene gas cutting work"
"","","","","","","537-05","Automatic welding / fusing machine operator","Automatic gas cutting machine operator, automatic electric welding machine operator, automatic laser cutting machine operator"
"","","","","","","537-99","Metal welding and fusing work that is not classified elsewhere","Plasma cutting, laser cutting, laser welding"
"","","","","539","Other metal material manufacturing, metal processing, metal welding / fusing occupations","539-01","Wire drawing","Wire drawing"
"","","","","","","539-02","Brazing and soldering","Soldering work, brazing work"
"","","","","","","539-03","Mold mounting work","Mold mounting work"
"","","","","","","539-04","Metal cutting work (by knife)","Shirring, shearing, band saw, circular saw"
"","","","","","","539-05","Die casting","Die casting"
"","","","","","","539-06","Machine dismantling","Automobile dismantling work, electromechanical dismantling work, specified household equipment dismantling work, waste home appliance dismantling work, recycled home appliance dismantling work"
"","","","","","","539-99","Occupations of metal material manufacturing, metal processing, metal welding and fusing that are not classified elsewhere","Penetration work, metal material raw material work, metal engraving work, metal roasting work, marking work, ore sintering work, powder metallurgy molding work, powder metallurgy product manufacturing work"
"","","54","Occupation of product manufacturing / processing (excluding metal material manufacturing, metal processing, metal welding / fusing)","541","Chemical product manufacturer","541-01","Basic chemical product manufacturer","Chemical fertilizer manufacturer, general-purpose resin manufacturer, inorganic material manufacturer, organic chemical manufacturer"
"","","","","","","541-02","Chemical fiber worker","Chemical fiber post-treatment work, chemical fiber stock solution adjustment work, chemical fiber scouring work, chemical fiber bleaching work, chemical fiber spinning work"
"","","","","","","541-03","Soap / detergent / oil product manufacturer","Synthetic detergent maker, soap maker, oil and fat product maker"
"","","","","","","541-04","Pharmaceutical manufacturer","Ampoule filling work, pharmaceutical finishing work, Chinese medicine manufacturing work, drug substance manufacturing work, antibiotic seed culture work, formulation work, injection liquid manufacturing work, drink medicine manufacturing work"
"","","","","","","541-05","Cosmetics manufacturer","Lipstick maker, cream maker (cosmetics maker), perfume maker, shampoo maker, emulsion maker, dentifrice maker"
"","","","","","","541-06","Photosensitizer material manufacturer (excluding film)","X-ray film intensifying paper maker, photosensitive paper maker, photosensitive emulsion maker, photographic emulsion maker"
"","","","","","","541-07","Film maker","Movie film maker, photographic film maker, X-ray film maker"
"","","","","","","541-08","Paint / paint / ink manufacturer","Ink maker, paint maker, paint maker"
"","","","","","","541-09","Chemical product manufacturer not classified elsewhere","Chemical product raw material crusher, pigment maker, fragrance maker, pesticide maker, salt maker, incense stick maker, pesticide maker, fireworks maker"
"","","","","542","Ceramic / earth and stone product manufacturer","542-01","Glass product manufacturer","Mirror silvering work, glass cutting work, glass molding work, glass fiber manufacturing work, glass engraving work, glass heat processing work, glass heat treatment work"
"","","","","","","542-02","Brick and straw manufacturing","Brick dryer, Brick molding, Brick firing, Brick drying, Brick molding, Brick firing"
"","","","","","","542-03","Ceramic maker","Tile maker (porcelain product manufacturing), porcelain polisher, porcelain firing maker, porcelain molding maker"
"","","","","","","542-04","Fine ceramics product manufacturer","Wafer polisher, wafer manufacturer, wafer cleaner, silicon cutter, fine ceramics product polisher, fine ceramics product calciner, fine ceramics product molder"
"","","","","","","542-05","Cement maker","Cement raw material work, cement finishing work"
"","","","","","","542-06","Concrete product manufacturer (excluding ready-mixed concrete)","Concrete pipe maker, concrete panel maker, concrete block maker, cement slate maker"
"","","","","","","542-07","Ready-mixed concrete manufacturer","On-site concrete maker, ready-mixed concrete maker"
"","","","","","","542-08","Polishing material manufacturer","Sandpaper maker, polishing disc maker, polishing cloth maker, grindstone maker"
"","","","","","","542-09","Earth and stone product manufacturer","Masonry, stone polishing, masonry, masonry, masonry, masonry, masonry, sumi-inking, tombstone, chipping (stone processing)"
"","","","","","","542-99","Ceramics and earth and stone product manufacturers that are not classified elsewhere","Cloisonne, lime maker, gypsum product maker, gypsum maker, enamel maker, ceramic painter, ceramic raw material maker, crucible maker"
"","","","","543","Milled / milled / seasoned food manufacturer","543-01","Fine grainer","Wheat mill, rice mill"
"","","","","","","543-02","Miller","Wheat flour maker, starch maker"
"","","","","","","543-03","Taste and soy sauce maker","Soy sauce maker, miso maker"
"","","","","","","543-99","Fine grain / milling / seasoning food manufacturer not classified elsewhere","Yeast maker, umami seasoning maker, dried soup maker, yeast / koji maker, spice maker, jam maker, edible oil and fat product maker, vinegar maker, sugar maker, sauce maker, animal and vegetable fat maker , Tomato ketchup maker, peanut butter maker, margarine maker, mayonnaise maker, water candy maker"
"","","","","544","Men's manufacturer","544-01","Manufacture","Udon maker, spaghetti maker, handmade soba maker, ramen maker"
"","","","","","","544-02","Instant noodle maker","Instant noodle maker, instant noodle maker"
"","","","","","","544-99","Noodle maker not classified elsewhere","Gyoza skin maker, Shumai skin maker, Harusame maker, Macaroni maker, Wonton skin maker"
"","","","","545","Bread and confectionery maker","545-01","Bread / baked confectionery maker","Bakery, bread dough preparation, bread baking, baked confectionery baking, baked confectionery molding"
"","","","","","","545-02","Western confectionery maker","Castella maker, cake maker, cream puff maker, jelly maker, pastry chef (western confectionery maker), pudding maker, western confectionery finisher, western confectionery maker"
"","","","","","","545-03","Japanese confectionery maker","Manju maker, Daifuku maker, Dorayaki maker, Manju maker, Monaka maker, Yokan maker, Japanese sweets finisher"
"","","","","","","545-04","Japanese dried sweets maker","Hail maker, Okoshi maker, Karinto maker, Senbei maker, Bean confectionery maker, Rakugan maker"
"","","","","","","545-05","Snacks, candy, chocolate makers","Candy maker, caramel maker, candy maker, chocolate maker, drop maker, potato chips maker, nougat maker"
"","","","","","","545-99","Bread and confectionery maker not classified elsewhere","Popsicle maker, Amanatto maker, chewing gum maker, Chinese manju maker, tsukemono candy maker, sherbet maker, cotton candy maker"
"","","","","546","Tofu / konjac / fu maker","546-01","Manufacturer of tofu, fried tofu, etc.","Yuage maker, Ganmodoki maker, Frozen tofu maker, Tofu maker, Natto maker, Raw fried maker, Grilled tofu maker, Yuba maker"
"","","","","","","546-02","Konjac maker","Board konjac maker, thread konjac maker, Shirataki maker, ball konjac maker"
"","","","","","","546-03","Maker","Fried Fu Manufacturing, Kakufu Manufacturing, Raw Fu Manufacturing, Yakifu Manufacturing"
"","","","","547","Canned / bottled / retort food manufacturer","547-01","Canned food manufacturer","Canned food raw material cooker, canned food sterilization heater, canned food filling work, canned food sealing work, winding deaeration work (canning manufacturing)"
"","","","","","","547-02","Bottled food maker","Bottled food ingredient cooker, bottled food sterilizer heater, bottled food filling worker, bottled food sealer"
"","","","","","","547-03","Retort food maker","Retort food raw material cooker, retort food sterilization heater, retort food filling work, retort food sealing work"
"","","","","548","Milk and dairy product manufacturer","548-01","Drinking milk maker","Milk maker, milk bottling maker, raw milk sterilizer, low-fat milk maker, Tokuno milk maker"
"","","","","","","548-02","Lactic acid fermented product manufacturer","Lactic acid bacteria beverage maker, fermented milk maker, yogurt maker"
"","","","","","","548-03","Ice cream maker","Ice cream raw material weighing work, ice cream filling work, ice cream cooling work"
"","","","","","","548-99","Milk and dairy products manufacturers not classified elsewhere","Milk powder maker, condensed milk maker, cheese maker, butter maker, milk powder maker, condensed milk maker"
"","","","","551","Processed meat manufacturer","551-01","Butcher","Carcass dismantling, carcass processing, meat processing, minced meat manufacturing, minced meat manufacturing"
"","","","","","","551-02","Ham, bacon and sausage maker","Wiener maker, cutter maker (meat product), smoker maker (meat product), brewer (bird and animal meat product), meat stuffer (ham and sausage maker), boil maker (ham and sausage maker)"
"","","","","","","551-99","Processed meat product manufacturer not classified elsewhere","Kasuzuke meat maker, beef tsukudani maker, edible chicken dismantling maker"
"","","","","552","Fisheries processor","552-01","Katsuobushi maker","Ara-bushi maker, bonito raw cutting bonito, bonito bone removal maker, dead bonito maker, mackerel knuckle maker, namari-bushi maker, tuna-bushi maker"
"","","","","","","552-02","Seafood dried fish maker","Horse mackerel dried fish maker, sakura shrimp maker, dried squid maker, sardine maker, dried scallop maker, dried seaweed maker, dried hijiki maker"
"","","","","","","552-03","Fisheries product manufacturer","Kamaboko maker, fish sausage maker, satsuma fried maker, chikuwa maker, hanpen maker"
"","","","","","","552-99","Unclassified marine product processor","Squid salted fish maker, Kazunoko maker, Agar maker, Seafood kun maker, Konbu maker, Seafood salt brewer, Fisheries delicacy maker, Tsukudani maker, Tokoroten maker"
"","","","","553","Preserved food / frozen processed food manufacturer","553-01","Preserved food manufacturer","Ochazuke seaweed maker, instant miso soup maker, packaged cooked rice maker"
"","","","","","","553-02","Freezing processed food manufacturer","Frozen udon maker, frozen fried shrimp maker, frozen croquette maker, frozen pilaf maker"
"","","","","554","Bento / side dish manufacturer","554-01","Bento / side dish manufacturer","Fried food maker, side dish maker, cooking bread maker, bento maker"
"","","","","555","Vegetable maker","555-01","Vegetable maker","Umeboshi pickles, Senmaizuke, Takuan pickles, pickles (vegetables), Fukujin pickles, vegetable salt pickles, scallions pickles"
"","","","","556","Beverage / tobacco maker","556-01","Tea maker","Tea maker"
"","","","","","","556-02","Sake maker","Mr. Mori, a sake maker"
"","","","","","","556-03","Liquor maker (excluding sake)","Fruit liquor maker, grilled liquor maker, beer maker, mirin maker, wine maker"
"","","","","","","556-04","Soft drink maker","Tea-based beverage maker, mineral water maker, milk coffee maker"
"","","","","","","556-05","Tobacco maker","Tobacco maker"
"","","","","","","556-99","Beverage and tobacco manufacturers not classified elsewhere","Instant coffee maker, coffee bean roaster, powdered beverage maker"
"","","","","557","Weaver","557-01","Rough spinning, fine spinning","Mixed cottonwork, fine spinning, rough spinning, spinning"
"","","","","","","557-02","Noodle threader, processed threader","Processed yarn, synthetic yarn, yarn"
"","","","","","","557-03","Woven fabric preparatory work","Loom preparatory work, warping work, hata (machine) preparation work, he (warp) commuting work"
"","","","","","","557-04","Weaving","Loom operator, weaving"
"","","","","","","557-05","Smelting and bleaching","Smelter (spinning, textile manufacturing), bleaching (spinning, textile manufacturing), bleaching finisher (spinning, textile manufacturing)"
"","","","","","","557-06","Dyeing / finishing work","Textile dyeing, thread dyeing, dyeing, screen dyeing, dyeing and finishing (spinning, textile manufacturing), dyeing, toning (fiber), dyeing, Yuzen dyeing"
"","","","","","","557-07","Knitting and knitting","Knitting machine preparation, knitting, knitting, machine lace knitting, socks knitting, hand knitting, knit fabric knitting, knit product knitting, lace knitting"
"","","","","","","557-08","Tsuna / Ami Manufacturing","Ami maker, Tsuna maker, String maker"
"","","","","","","557-09","Felt / non-woven fabric manufacturer","Non-woven fabric manufacturer, felt manufacturer"
"","","","","","","557-99","Weavers not classified elsewhere","Thread finishing work, silk reeling work, woven fabric post-treatment work, cotton making work, cotton punching direct work"
"","","","","558","Garment / textile manufacturer","558-01","Women's clothing / children's clothing tailoring","Dressmaker, women's ready-to-wear tailor, women's clothing tailor, women's clothing order tailoring, children's ready-to-wear tailoring, children's clothing tailoring, children's clothing ordering, dressmaker (women's clothing / children's clothing tailoring)"
"","","","","","","558-02","Men's clothing tailoring","Men's ready-made clothing tailor, men's clothing order tailoring, tailor, dressmaker (men's clothing tailoring)"
"","","","","","","558-03","Kimono tailoring job","Japanese dressmaker"
"","","","","","","558-04","Clothes repairman","Clothes repairer, men's clothing repairer, women's clothing / children's clothing repairer, clothing repairer, reformer (clothing), kimono repairer"
"","","","","","","558-05","Fabric cutting work","Machine cutting work, hand cutting work (cloth)"
"","","","","","","558-06","Sewing machine (clothes)","Clothes sewing machine sewing, underwear sewing, shirt sewing, men's clothing sewing, sewing workers (clothes), knit sewing, women's clothing / children's clothing sewing"
"","","","","","","558-07","Sewing machine sewing machine (personal items)","Sewing machines other than clothes, curtain sewing machines, quilting sewing machines, woven fabric sewing machines, personal belongings sewing machines, sewing workers (personal belongings)"
"","","","","","","558-08","Special sewing machine sewing machine","Sewing workers (special sewing machines)"
"","","","","","","558-09","Embroidery","Machine embroidery, hand embroidery"
"","","","","","","558-10","Clothes and textile finishers","Textile finisher, textile hand finisher, textile press"
"","","","","","","558-99","Clothes and textile manufacturers not classified elsewhere","Leather sewing (clothing manufacturing), cambus product manufacturing, fur cutting (clothing), bedding tailoring, sail cloth product manufacturing, hat manufacturing (cloth), leather clothing tailoring, duvet cotton"
"","","","","561","Wooden product manufacturer","561-01","Sawmill, chip maker","Log cutting work, chipper work, chip sorting work, sawing machine work"
"","","","","","","561-02","Plywood","Decorative plywood maker, plywood maker, plywood press maker, laminated wood maker, single board maker, preparation board maker, particle board maker, wood board maker"
"","","","","","","561-03","Woodworking, wood carving","Drilling woodworking, machine pre-cutting, machine woodworking, woodworking woodworking, wood carving, doll carving, woodblock maker, woodworking polisher, woodworking lathe, woodworking milling machine"
"","","","","","","561-04","Wooden furniture and joinery manufacturer","Furniture worker, shoji installation worker, joinery worker, wooden furniture metal fittings assembler, wooden furniture assembler, wooden furniture repairman"
"","","","","","","561-05","Sashimono","Karaki joinery, wooden mirror stand maker, god and Buddhist joinery, Buddhist altar maker, palace master, parquet craftsman"
"","","","","","","561-06","Wood insect repellent and antiseptic treatment work","Wood product processing work, wood fireproof treatment work, wood insect repellent treatment work, wood antiseptic treatment work"
"","","","","","","561-99","Wooden product manufacturer not classified elsewhere","Igusa product maker, rice straw product maker, kiyanagi product maker, geese maker, bamboo maker, tofu product maker, ship carpenter, straw product maker, wooden exercise equipment maker, wooden skein maker, wooden barrel Manufacturer, wooden music maker"
"","","","","562","Pulp / paper / paper product manufacturer","562-01","Pulp worker, paper worker","Paper fee work, paper fee adjustment work, paper fee melting work, pulp work, pulp grinder work"
"","","","","","","562-02","Paper plow","Paper machine, paper machine, paper machine"
"","","","","","","562-03","Cardboard maker","Corrugated cardboard sheet maker"
"","","","","","","562-04","Processed paper maker (excluding corrugated cardboard)","Coated paper maker, waterproof paper maker"
"","","","","","","562-05","Paper container maker","Large paper bag maker, paper tableware maker, paper box maker, mechanical box maker, paper tube maker, cardboard box maker"
"","","","","","","562-06","Paper product manufacturer","Paper string maker, small paper bag maker, envelope maker"
"","","","","","","562-07","Paper cutting","Paper die cutting work, paper machine cutting work, bookbinding cutting work"
"","","","","","","562-99","Pulp / paper / paper product manufacturers not classified elsewhere","Paper processing work, paper finishing work, paper product finishing work, paper winding work"
"","","","","563","Printing / binding worker","563-01","DTP operator","DTP operator"
"","","","","","","563-02","Phototypesetting operator","Phototypesetting typesetting worker, computerized typesetting operator, electronic typesetting operator"
"","","","","","","563-03","Plate making worker","Offset plate making worker, color scanner operator, gravure plate making worker, screen plate making worker, plate making camera worker, electronic plate making worker, block copy production worker"
"","","","","","","563-04","Toppan printing worker","Resin letterpress printing worker, flexo printing worker"
"","","","","","","563-05","Offset printing worker","Flat plate printing worker"
"","","","","","","563-06","Gravure printing worker","Intaglio printing worker, photo printing worker, art printing worker"
"","","","","","","563-07","Screen printing worker","Signboard printing worker, stencil printing worker, silk printing worker"
"","","","","","","563-08","Sticker printing worker","Sticker printing worker, label printing worker"
"","","","","","","563-09","Proofreading worker","Proofreading worker"
"","","","","","","563-10","Printed matter gloss processing worker","Printed matter coating processing worker, printed matter resin press processing worker, printed matter laminating processing worker"
"","","","","","","563-11","Bookbinding worker","Folding worker, bookbinding finishing worker, bookbinding binding worker, collating worker, cover manufacturing worker"
"","","","","","","563-99","Printing and binding workers not classified elsewhere","Pushing worker, form printing worker"
